gene	donor_id	sample	development_stage	sex	cell_type_level_2	n_cells	n_detected	detection_fraction	matrix_used
LOXL3	T07	T07_TH_EPCAM_S3	3-month-old stage	male	cTEC	384	0	0	X
LOXL3	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC	1151	8	0.00695048	X
LOXL3	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC-mimetic	25	2	0.08	X
LOXL3	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mcTEC	251	3	0.0119522	X
LOXL3	T07	T07_TH_TOT_1_S1	3-month-old stage	male	cTEC	56	0	0	X
LOXL3	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC	46	0	0	X
LOXL3	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC-mimetic	2	0	0	X
LOXL3	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mcTEC	16	0	0	X
LOXL3	T07	T07_TH_TOT_2_S2	3-month-old stage	male	cTEC	30	0	0	X
LOXL3	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTEC	53	0	0	X
LOXL3	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mcTEC	7	0	0	X
LOXL3	U09	TA9260013	6-month-old stage	female	cTEC	102	1	0.00980392	X
LOXL3	U09	TA9260013	6-month-old stage	female	mTEC	115	0	0	X
LOXL3	U09	TA9260013	6-month-old stage	female	mTEC-mimetic	9	0	0	X
LOXL3	U09	TA9260013	6-month-old stage	female	mcTEC	4	0	0	X
LOXL3	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	cTEC	880	7	0.00795455	X
LOXL3	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC	169	0	0	X
LOXL3	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC-mimetic	57	0	0	X
LOXL3	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mcTEC	2160	21	0.00972222	X
LOXL3	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	cTEC	1402	6	0.0042796	X
LOXL3	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTEC	1138	9	0.00790861	X
LOXL3	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTEC-mimetic	70	0	0	X
LOXL3	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mcTEC	393	1	0.00254453	X
LOXL3	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	cTEC	6	0	0	X
LOXL3	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTEC	5	0	0	X
LOXL3	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTEC-mimetic	2	0	0	X
LOXL3	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mcTEC	1	0	0	X
LOXL3	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	cTEC	681	3	0.00440529	X
LOXL3	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTEC	329	4	0.0121581	X
LOXL3	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTEC-mimetic	55	2	0.0363636	X
LOXL3	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mcTEC	44	0	0	X
LOXL3	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	see_lv4_explore	1	0	0	X
