gene	donor_id	samples	age_development	sex	cell_types_epith	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247	1	0.00404858	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259	0	0	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88	3	0.0340909	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364	6	0.0164835	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722	11	0.0152355	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215	2	0.00930233	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379	0	0	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66	1	0.0151515	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Aire+ mTEC hi	35	0	0	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Corneocyte-like mTEC	295	0	0	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Immature TEC	264	4	0.0151515	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Myoid	40	0	0	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Neuroendocrine	69	4	0.057971	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC hi	151	0	0	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC lo	47	0	0	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC lo	273	1	0.003663	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Aire+ mTEC hi	20	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Corneocyte-like mTEC	83	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Myoid	4	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Neuroendocrine	2	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC lo	16	0	0	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Aire+ mTEC hi	11	0	0	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Corneocyte-like mTEC	31	1	0.0322581	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Immature TEC	1515	131	0.0864686	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myelin+	59	1	0.0169492	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myoid	35	6	0.171429	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Neuroendocrine	130	2	0.0153846	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC hi	2	0	0	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC lo	25	1	0.04	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC lo	823	49	0.0595383	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79	0	0	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56	0	0	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257	8	0.00636436	raw.X	
