gene	annotation_level	group_or_subtype	status	n_young_samples	n_aged_samples	young_cell_count	aged_cell_count	raw_pvalue	original_padj	log2FC_18mo_vs_02mo	global_bh_fdr_lox_x_subtype_matrix	global_fdr_classification
Lox	subtype	4:intFB	ok	3	3	2691	1880	0.0043584520216457	0.0716375401347848	-0.625956479206368	0.05956551096249122	global_FDR_lt_0.10
Loxl1	subtype	4:intFB	ok	3	3	2691	1880	0.0029021938209416	0.0541318283216391	-0.5123242678042881	0.044621229996977096	global_FDR_lt_0.05
Loxl2	subtype	4:intFB	ok	3	3	2691	1880	0.0195541664878017	0.1898400016846443	-0.5784463994404674	0.18501249830766223	not_significant_after_global_matrix_correction
Loxl3	subtype	4:intFB	ok	3	3	2691	1880	0.4294417996670224	0.855435277090965	0.210541770945323	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	4:intFB	ok	3	3	2691	1880	0.6474196239208694		-0.5893481356593899	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	5:medFB	ok	3	3	1841	2881	0.0111519746061231	0.0747288780909326	1.101093219618501	0.12469935241392194	not_significant_after_global_matrix_correction
Loxl1	subtype	5:medFB	ok	3	3	1841	2881	0.0021936556343317	0.022557597703736	0.7505055180833843	0.0385456632889713	global_FDR_lt_0.05
Loxl2	subtype	5:medFB	ok	3	3	1841	2881	0.0004412166683791	0.0067177089389437	-0.9954827176484546	0.013567412552657324	global_FDR_lt_0.05
Loxl3	subtype	5:medFB	ok	3	3	1841	2881	0.1874143747184368	0.4751276386464128	0.3968840261474753	0.9424094490791955	not_significant_after_global_matrix_correction
Loxl4	subtype	5:medFB	ok	3	3	1841	2881	0.7740749212543258		-0.6270507310510817	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	6:MEC	ok	3	3	160	634	0.5867944393071967		-0.3534857984311015	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	6:MEC	ok	3	3	160	634	0.5320998582407889	0.9642242930722538	-0.2123650037643031	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	6:MEC	ok	3	3	160	634	0.0393360105914706	0.7060577138522591	-1.1649323199017867	0.2687960723750491	not_significant_after_global_matrix_correction
Loxl3	subtype	6:MEC	ok	3	3	160	634	0.6783328426426087		0.2870051915231473	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	6:MEC	ok	3	3	160	634	0.8884099301194806		-0.2143837736844727	0.9748426779227708	not_significant_after_global_matrix_correction
