gene	age_development	cell_types_epith	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label	not_generated_reason
LOXL3	Postnatal (6 days)	Corneocyte-like mTEC	1	1	1	83	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	Immature TEC	1	1	1	12	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	Myoid	1	1	1	4	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	Neuroendocrine	1	1	1	2	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	cTEC hi	1	1	1	93	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	cTEC lo	1	1	1	5	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	mTEC lo	1	1	1	16	0	0	not_generated	not_generated	
LOXL4	Adult (25 yo)	Aire+ mTEC hi	1	1	1	11	0	0	not_generated	not_generated	
LOXL4	Adult (25 yo)	Corneocyte-like mTEC	1	1	1	31	0.0322581	0.0322581	not_generated	not_generated	
LOXL4	Adult (25 yo)	Immature TEC	1	1	1	1515	0.0864686	0.0864686	not_generated	not_generated	
LOXL4	Adult (25 yo)	Myelin+	1	1	1	59	0.0169492	0.0169492	not_generated	not_generated	
LOXL4	Adult (25 yo)	Myoid	1	1	1	35	0.171429	0.171429	not_generated	not_generated	
LOXL4	Adult (25 yo)	Neuroendocrine	1	1	1	130	0.0153846	0.0153846	not_generated	not_generated	
LOXL4	Adult (25 yo)	cTEC hi	1	1	1	2	0	0	not_generated	not_generated	
LOXL4	Adult (25 yo)	cTEC lo	1	1	1	25	0.04	0.04	not_generated	not_generated	
LOXL4	Adult (25 yo)	mTEC lo	1	1	1	823	0.0595383	0.0595383	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	Aire+ mTEC hi	1	1	1	79	0	0	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	Corneocyte-like mTEC	1	1	1	56	0	0	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	Immature TEC	1	1	1	1257	0.00636436	0.00636436	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	Myelin+	1	1	1	19	0	0	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	Myoid	1	1	1	104	0	0	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	Neuroendocrine	1	1	1	161	0	0	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	cTEC hi	1	1	1	2469	0.00445525	0.00445525	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	cTEC lo	1	1	1	2706	0.00443459	0.00443459	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	mTEC lo	1	1	1	888	0.00900901	0.00900901	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	Aire+ mTEC hi	1	1	1	98	0.0102041	0.0102041	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	Corneocyte-like mTEC	1	1	1	247	0	0	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	Immature TEC	1	1	1	259	0.011583	0.011583	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	Myelin+	1	1	1	88	0	0	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	Myoid	1	1	1	364	0.00274725	0.00274725	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	Neuroendocrine	1	1	1	722	0.00415512	0.00415512	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	cTEC hi	1	1	1	215	0.00465116	0.00465116	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	cTEC lo	1	1	1	379	0	0	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	mTEC lo	1	1	1	66	0	0	not_generated	not_generated	
LOXL4	Postnatal (10 months)	Aire+ mTEC hi	1	1	1	35	0	0	not_generated	not_generated	
LOXL4	Postnatal (10 months)	Corneocyte-like mTEC	1	1	1	295	0.0135593	0.0135593	not_generated	not_generated	
