target_compartment	broad_compartment	fine_cell_type	n_cells	n_donors	n_samples	age_groups
other	Mono3	Mono3	83	11	11	fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	ZNF683+CD8ααT	80	16	16	adult_40_64y; pediatric_1_17y; young_adult_18_39y
other	Hema	ImmatureNK	68	14	14	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Monocyte	61	13	13	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Neutrophil	48	10	10	adult_40_64y; pediatric_1_17y; young_adult_18_39y
other	Hema	IFN_CD8ααT	32	13	13	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other		Tuft	29	12	12	age_unknown
other	Hema	Mast	28	10	10	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
post_AIRE_mTEC		post_AIRE_mTEC	1121	33	33	age_unknown
post_AIRE_mTEC	Epi	post_AIRE_mTEC	488	14	14	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
