gene	donor_id	sample_id	development_stage	sex	cell_type	n_cells	n_detected	detection_fraction
LOXL1	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cortical thymic epithelial cell	30	0	0
LOXL1	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	medullary thymic epithelial cell	110	22	0.2
LOXL1	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cortical thymic epithelial cell	18	1	0.0555556
LOXL1	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	medullary thymic epithelial cell	81	13	0.160494
LOXL2	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	21	0	0
LOXL2	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	2225	14	0.00629213
LOXL2	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	cortical thymic epithelial cell	18	0	0
LOXL2	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	2278	15	0.00658472
LOXL2	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	2	0	0
LOXL2	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	74	0	0
LOXL2	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	4	0	0
LOXL2	A45	A45_TH_45NM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	191	3	0.0157068
LOXL2	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	1218	16	0.0131363
LOXL2	A45	A45_TH_TOT_5GEX	15-19 year-old	male	medullary thymic epithelial cell	13	0	0
LOXL2	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cortical thymic epithelial cell	60	1	0.0166667
LOXL2	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	medullary thymic epithelial cell	3	0	0
LOXL2	C40	C40_TH_TOT_1	organogenesis stage	female	cortical thymic epithelial cell	2628	76	0.0289193
LOXL2	C40	C40_TH_TOT_1	organogenesis stage	female	epithelial cell of thymus	4	0	0
LOXL2	C40	C40_TH_TOT_1	organogenesis stage	female	medullary thymic epithelial cell	178	9	0.0505618
LOXL2	C40	C40_TH_TOT_2	organogenesis stage	female	cortical thymic epithelial cell	2774	110	0.0396539
LOXL2	C40	C40_TH_TOT_2	organogenesis stage	female	epithelial cell of thymus	3	0	0
LOXL2	C40	C40_TH_TOT_2	organogenesis stage	female	medullary thymic epithelial cell	211	6	0.028436
LOXL2	C41	C41_TH_TOT_1	organogenesis stage	male	cortical thymic epithelial cell	1754	43	0.0245154
LOXL2	C41	C41_TH_TOT_1	organogenesis stage	male	epithelial cell of thymus	35	1	0.0285714
LOXL2	C41	C41_TH_TOT_1	organogenesis stage	male	medullary thymic epithelial cell	19	0	0
LOXL2	C41	C41_TH_TOT_2	organogenesis stage	male	cortical thymic epithelial cell	1774	53	0.029876
LOXL2	C41	C41_TH_TOT_2	organogenesis stage	male	epithelial cell of thymus	32	1	0.03125
LOXL2	C41	C41_TH_TOT_2	organogenesis stage	male	medullary thymic epithelial cell	30	0	0
LOXL2	F21	F21_TH_45N	16th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOXL2	F21	F21_TH_45N	16th week post-fertilization stage	male	medullary thymic epithelial cell	40	0	0
LOXL2	F22	F22_TH_TOT	10th week post-fertilization stage	female	cortical thymic epithelial cell	8	0	0
LOXL2	F22	F22_TH_TOT	10th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
LOXL2	F30	F30_TH_45N	15th week post-fertilization stage	male	cortical thymic epithelial cell	7	1	0.142857
LOXL2	F30	F30_TH_45N	15th week post-fertilization stage	male	medullary thymic epithelial cell	13	1	0.0769231
LOXL2	F38	F38_TH_45N_1	13th week post-fertilization stage	male	medullary thymic epithelial cell	12	1	0.0833333
LOXL2	F38	F38_TH_45N_2	13th week post-fertilization stage	male	medullary thymic epithelial cell	13	1	0.0769231
LOXL2	F41	F41_TH_45N	17th week post-fertilization stage	female	medullary thymic epithelial cell	4	1	0.25
LOXL2	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	7	1	0.142857
LOXL2	F45	F45_TH_45N	12th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOXL2	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
