dataset	donor_id	sample_id	development_stage	sex	celltypes	target_gene	gene_present	n_cells	n_detected	detection_fraction	mean_value	matrix_used	matrix_semantics	notes
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(I)	LOX	yes	1	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(II)	LOX	yes	1	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mcTEC	LOX	yes	12	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	TEC(myo)	LOX	yes	2	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cTEC	LOX	yes	5	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	mcTEC	LOX	yes	8	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	TEC(myo)	LOX	yes	7	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	TEC(neuro)	LOX	yes	9	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	cTEC	LOX	yes	34	1	0.0294118		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(I)	LOX	yes	132	18	0.136364		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(II)	LOX	yes	47	1	0.0212766		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(III)	LOX	yes	12	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(IV)	LOX	yes	2	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mcTEC	LOX	yes	241	17	0.0705394		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	TEC(myo)	LOX	yes	16	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	TEC(neuro)	LOX	yes	44	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cTEC	LOX	yes	235	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(I)	LOX	yes	852	15	0.0176056		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(II)	LOX	yes	357	11	0.0308123		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(III)	LOX	yes	116	1	0.00862069		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(IV)	LOX	yes	28	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mcTEC	LOX	yes	396	19	0.0479798		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	TEC(myo)	LOX	yes	2	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	TEC(neuro)	LOX	yes	1	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cTEC	LOX	yes	30	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(I)	LOX	yes	44	1	0.0227273		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(II)	LOX	yes	19	1	0.0526316		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(III)	LOX	yes	7	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(IV)	LOX	yes	3	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mcTEC	LOX	yes	34	3	0.0882353		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	TEC(neuro)	LOX	yes	4	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cTEC	LOX	yes	18	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(I)	LOX	yes	34	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(II)	LOX	yes	16	2	0.125		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(III)	LOX	yes	9	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mcTEC	LOX	yes	18	1	0.0555556		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	TEC(myo)	LOXL1	yes	45	0	0		X	partial	Detection preview only; no statistical test was run.
