analysis_group	gene	age_week	n_cells	n_sort_day_samples	mean_log2_norm_plus1	median_log2_norm_plus1	detection_rate	n_biological_samples_if_available	age_label	replicate_definition
mTEC_like	Loxl3	32	374	5	1.6457997571258636	0.0	0.2540106951871658		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl3	52	373	5	1.4418911176541376	0.0	0.2225201072386059		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	1	300	5	3.7233399198121035	4.590724221573301	0.73		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	4	442	5	3.236283386534633	3.1555296182244232	0.5882352941176471		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	16	246	5	3.320767354736856	3.256100650830189	0.5975609756097561		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	32	374	5	3.3730932969524785	3.655702342576056	0.6096256684491979		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEC_like	Loxl4	52	373	5	2.9933930494788776	2.5073299208642226	0.5737265415549598		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	1	129	5	0.8785248826216315	0.0	0.18604651162790697		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	4	193	5	1.2407180592041447	0.0	0.24352331606217617		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	16	99	5	1.4127952806285031	0.0	0.26262626262626265		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	32	143	5	1.5967259834469008	0.0	0.2937062937062937		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Lox	52	151	5	1.0391247993698618	0.0	0.2582781456953642		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl1	1	129	5	7.535652226196457	8.111406142038918	0.9302325581395349		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl1	4	193	5	6.6984642094956905	7.588706634987664	0.8652849740932642		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl1	16	99	5	6.182387611343834	7.44075821191657	0.797979797979798		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl1	32	143	5	6.190335960854204	7.342862208754477	0.8181818181818182		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl1	52	151	5	6.575137502922066	7.595977379603924	0.847682119205298		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl2	1	129	5	1.5888510109766414	0.0	0.37209302325581395		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl2	4	193	5	1.1718898716640442	0.0	0.31088082901554404		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl2	16	99	5	1.2081899880987543	0.0	0.30303030303030304		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl2	32	143	5	0.9325331885617096	0.0	0.21678321678321677		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl2	52	151	5	0.9927657971606609	0.0	0.26490066225165565		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl3	1	129	5	1.8796763991903314	0.0	0.32558139534883723		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl3	4	193	5	1.944600451462641	0.0	0.31088082901554404		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl3	16	99	5	1.6302356914894687	0.0	0.26262626262626265		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl3	32	143	5	2.049838805008975	0.0	0.3146853146853147		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl3	52	151	5	1.8766354355888135	0.0	0.2980132450331126		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl4	1	129	5	4.0425106655748575	4.847522474333038	0.7674418604651163		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl4	4	193	5	3.157740584713635	3.242809380092157	0.6113989637305699		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl4	16	99	5	3.351129407245972	3.54946511732417	0.6565656565656566		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl4	32	143	5	3.950828676419664	4.879574987797939	0.7062937062937062		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEChi	Loxl4	52	151	5	3.358873340046047	3.5830432186208165	0.6688741721854304		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Lox	1	92	5	1.1782904136057966	0.0	0.29347826086956524		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Lox	4	132	5	1.3037643421224647	0.0	0.25757575757575757		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
