gene	development_stage	cell_type_level_2	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL2	18th week post-fertilization stage	mTEC-mimetic	1	1	1	8	0.375	0.375	not_generated	not_generated
LOXL2	18th week post-fertilization stage	mcTEC	1	1	1	164	0.0609756	0.0609756	not_generated	not_generated
LOXL2	2-year-old stage	mTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL2	2-year-old stage	mTEC-mimetic	1	1	1	1	0	0	not_generated	not_generated
LOXL2	2-year-old stage	mcTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL2	20th week post-fertilization stage	cTEC	1	1	1	3157	0.00253405	0.00253405	not_generated	not_generated
LOXL2	20th week post-fertilization stage	mTEC	1	1	1	974	0.013347	0.013347	not_generated	not_generated
LOXL2	20th week post-fertilization stage	mTEC-mimetic	1	1	1	131	0.0992366	0.0992366	not_generated	not_generated
LOXL2	20th week post-fertilization stage	mcTEC	1	1	1	2432	0.00904605	0.00904605	not_generated	not_generated
LOXL2	20th week post-fertilization stage	see_lv4_explore	1	1	1	16	0	0	not_generated	not_generated
LOXL2	24th week post-fertilization stage	cTEC	1	2	2	429	0.00949158	0.00949158	not_generated	not_generated
LOXL2	24th week post-fertilization stage	mTEC	1	2	2	706	0.0267858	0.0267858	not_generated	not_generated
LOXL2	24th week post-fertilization stage	mTEC-mimetic	1	2	2	926	0.0993869	0.0993869	not_generated	not_generated
LOXL2	24th week post-fertilization stage	mcTEC	1	2	2	540	0.0110225	0.0110225	not_generated	not_generated
LOXL2	24th week post-fertilization stage	see_lv4_explore	1	2	2	49	0	0	not_generated	not_generated
LOXL2	3-month-old stage	cTEC	1	3	3	470	0.00520833	0.00768848	not_generated	not_generated
LOXL2	3-month-old stage	mTEC	1	3	3	1250	0.0188679	0.0187485	not_generated	not_generated
LOXL2	3-month-old stage	mTEC-mimetic	1	2	2	27	0.49	0.49	not_generated	not_generated
LOXL2	3-month-old stage	mcTEC	1	3	3	274	0.125	0.152841	not_generated	not_generated
LOXL2	6-month-old stage	cTEC	3	7	7	2677	0	0.000625651	not_generated	not_generated
LOXL2	6-month-old stage	mTEC	3	7	7	1382	0.021097	0.0221699	not_generated	not_generated
LOXL2	6-month-old stage	mTEC-mimetic	3	7	7	1957	0.0242424	0.0963126	not_generated	not_generated
LOXL2	6-month-old stage	mcTEC	3	7	7	132	0	0.0031746	not_generated	not_generated
LOXL2	6-month-old stage	see_lv4_explore	1	1	1	1	0	0	not_generated	not_generated
LOXL2	newborn stage (0-28 days)	cTEC	2	4	4	2330	0.00397727	0.00608991	not_generated	not_generated
LOXL2	newborn stage (0-28 days)	mTEC	2	4	4	1367	0.00887575	0.00992998	not_generated	not_generated
LOXL2	newborn stage (0-28 days)	mTEC-mimetic	2	4	4	130	0.236091	0.243045	not_generated	not_generated
LOXL2	newborn stage (0-28 days)	mcTEC	2	4	4	2556	0.00381679	0.00538062	not_generated	not_generated
LOXL3	10-month-old stage	cTEC	1	2	2	275	0	0	not_generated	not_generated
LOXL3	10-month-old stage	mTEC	1	2	2	645	0.00195694	0.00195694	not_generated	not_generated
LOXL3	10-month-old stage	mTEC-mimetic	1	2	2	102	0.0131579	0.0131579	not_generated	not_generated
LOXL3	10-month-old stage	mcTEC	1	2	2	224	0.00231482	0.00231482	not_generated	not_generated
LOXL3	12th week post-fertilization stage	cTEC	2	3	3	9	0	0	not_generated	not_generated
LOXL3	12th week post-fertilization stage	mTEC	1	2	2	2	0	0	not_generated	not_generated
