gene	development_stage	cell_type_level_4_explore	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL1	12th week post-fertilization stage	cTECI	2	3	3	8	0.25	0.194444	not_generated	not_generated
LOXL1	12th week post-fertilization stage	cTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL1	12th week post-fertilization stage	mTECI	1	1	1	1	0	0	not_generated	not_generated
LOXL1	12th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL1	12th week post-fertilization stage	mcTEC	1	2	2	7	0	0	not_generated	not_generated
LOXL1	12th week post-fertilization stage	mcTEC-Prolif	2	2	2	3	0.25	0.25	not_generated	not_generated
LOXL1	13th week post-fertilization stage	TEC-myo	1	1	1	1	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	TEC-neuro	2	2	2	3	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	cTECI	2	2	2	2	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	mTECI	2	2	2	6	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	TEC-myo	1	2	2	2	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	TEC-neuro	1	2	2	2	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	cTECI	1	1	1	1	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	mTECI	1	2	2	18	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	TEC-myo	1	1	1	2	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	cTECI	1	1	1	4	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	mTECI	1	1	1	7	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	mTECIII	1	1	1	1	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	mcTEC	1	1	1	5	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	TEC-cilliated	1	1	1	2	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	TEC-myo	1	1	1	4	0.25	0.25	not_generated	not_generated
LOXL1	17th week post-fertilization stage	TEC-neuro	1	1	1	5	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	cTECI	1	1	1	3	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	cTECII	1	1	1	4	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	mTECI	1	1	1	9	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	mTECI-trans	1	1	1	12	0.166667	0.166667	not_generated	not_generated
LOXL1	17th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL1	18th week post-fertilization stage	TEC-myo	1	1	1	5	0.2	0.2	not_generated	not_generated
LOXL1	18th week post-fertilization stage	TEC-neuro	1	1	1	3	0	0	not_generated	not_generated
LOXL1	18th week post-fertilization stage	cTECI	1	1	1	44	0.0681818	0.0681818	not_generated	not_generated
LOXL1	18th week post-fertilization stage	cTECII	1	1	1	43	0.0232558	0.0232558	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mTECI	1	1	1	137	0.080292	0.080292	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mTECI-trans	1	1	1	7	0.142857	0.142857	not_generated	not_generated
