gene	donor_id	sample	development_stage	sex	cell_type_level_4_explore	n_cells	n_detected	detection_fraction	matrix_used
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTECII	25	0	0	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTECIII	25	0	0	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mcTEC	2128	134	0.0629699	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mcTEC-Prolif	32	3	0.09375	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	TEC-cilliated	15	0	0	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	TEC-myo	44	0	0	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	TEC-neuro	11	0	0	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	cTECI	748	12	0.0160428	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	cTECII	550	3	0.00545455	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	cTECIII	104	0	0	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTECI	876	32	0.0365297	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTECI-trans	62	0	0	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTECII	133	2	0.0150376	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTECIII	67	2	0.0298507	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mcTEC	382	24	0.0628272	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mcTEC-Prolif	11	2	0.181818	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	TEC-myo	1	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	TEC-neuro	1	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	cTECI	2	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	cTECIII	4	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTECI	1	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTECII	3	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTECIII	1	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mcTEC	1	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	TEC-cilliated	7	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	TEC-myo	32	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	TEC-neuro	16	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	TEC-tuft	1	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	cTECI	83	3	0.0361446	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	cTECII	252	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	cTECIII	346	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTECI	208	4	0.0192308	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTECI-trans	26	2	0.0769231	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTECII	72	3	0.0416667	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTECIII	23	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mcTEC	42	3	0.0714286	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mcTEC-Prolif	2	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	TEC-cilliated	14	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	TEC-myo	39	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	TEC-neuro	12	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	cTECI	82	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	cTECII	275	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	cTECIII	328	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTECI	219	12	0.0547945	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTECI-trans	14	1	0.0714286	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTECII	81	1	0.0123457	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTECIII	28	0	0	X
