match_window	gene	young_mean_detection	aged_mean_detection	detection_delta	detection_ratio	young_mean_log2CPM	aged_mean_log2CPM	log2CPM_delta	all_young_above_all_aged_detection	all_young_above_all_aged_log2CPM	n_young_samples	n_aged_samples	young_detection_values	aged_detection_values	young_log2CPM_values	aged_log2CPM_values	excluded_lox_family	excluded_mitochondrial	excluded_ribosomal	background_included
broad	Aqp5	0.034587813620071683	0.0844232379496141	0.04983542432954241	2.440837656781589	2.7401637665764538	4.194525306051798	1.454361539475344	False	False	2	2	0.0333333;0.0358423	0.100694;0.068152	3.05658;2.42374	4.41106;3.97799	False	False	False	True
broad	Racgap1	0.09184587813620071	0.019854922091160625	-0.07199095604504008	0.21617651759741716	3.971996348047552	2.4677989961868065	-1.5041973518607454	True	True	2	2	0.0833333;0.100358	0.00694444;0.0327654	3.82538;4.11861	1.62267;3.31293	False	False	False	True
broad	Smarcd1	0.1631899641577061	0.10994611912043104	-0.053243845037275056	0.6737308858906272	4.265361833736763	4.281653970710119	0.016292136973356186	True	False	2	2	0.14;0.18638	0.111111;0.108781	4.21475;4.31598	4.26267;4.30064	False	False	False	True
broad	Gm17057	0.03829749103942652	0.016314438619484492	-0.02198305241994203	0.4259923607708164	2.4137673217878017	1.918038825915422	-0.49572849587237977	True	True	2	2	0.03;0.046595	0.0208333;0.0117955	2.22033;2.6072	2.21382;1.62226	False	False	False	True
broad	Larp4	0.2229032258064516	0.23227482889180137	0.009371603085349761	1.0420433712946227	4.844603151832795	5.50898656152785	0.6643834096950547	False	False	2	2	0.22;0.225806	0.243056;0.221494	4.8488;4.84041	5.53069;5.48728	False	False	False	True
broad	Atf1	0.19831541218637994	0.20285423037716616	0.00453881819078622	1.0228868656285803	4.6689053877801205	5.2314972889658495	0.562591901185729	False	False	2	2	0.206667;0.189964	0.222222;0.183486	4.71447;4.62335	5.32155;5.14144	False	False	False	True
broad	Mettl7a1	0.09876344086021505	0.23178107252075142	0.13301763166053637	2.346830674407173	3.683409060183993	5.492344118661152	1.808935058477159	False	False	2	2	0.09;0.107527	0.260417;0.203145	3.62597;3.74085	5.59417;5.39052	False	False	False	True
broad	Slc11a2	0.052007168458781367	0.06244084025047328	0.010433671791691912	1.2006198780070325	2.771565527238158	3.407552741543495	0.6359872143053371	False	False	2	2	0.0466667;0.0573477	0.0763889;0.0484928	2.69822;2.84491	3.69564;3.11947	False	False	False	True
broad	5330439K02Rik	0.029587813620071686	0.022833387942332896	-0.00675442567773879	0.7717159583174897	2.0230973213304986	2.1552823894872066	0.13218506815670805	False	False	2	2	0.0233333;0.0358423	0.03125;0.0144168	1.83269;2.21351	2.50557;1.80499	False	False	False	True
broad	Letmd1	0.11759856630824372	0.06853429445172564	-0.049064271856518085	0.5827817175261034	3.8015000636567056	3.547591393726079	-0.25390866993062655	True	False	2	2	0.113333;0.121864	0.0833333;0.0537353	3.86215;3.74085	3.75239;3.34279	False	False	False	True
broad	Tfcp2	0.10797491039426524	0.11233753822629969	0.004362627832034449	1.0404040884692982	3.7659753707962977	4.410335857119355	0.6443604863230572	False	False	2	2	0.0833333;0.132616	0.114583;0.110092	3.44387;4.08808	4.44589;4.37479	False	False	False	True
broad	Pou6f1	0.05879928315412186	0.09965687345274502	0.04085759029862315	1.6948654491506163	3.0203336183855183	4.213769875745973	1.1934362573604544	False	False	2	2	0.0566667;0.0609319	0.118056;0.0812582	3.05658;2.98408	4.37537;4.05217	False	False	False	True
broad	Slc4a8	0.04342293906810036	0.01654425149264599	-0.02687868757545437	0.38100257255041114	2.880725405965361	2.1630645923530283	-0.7176608136123326	True	True	2	2	0.0366667;0.0501792	0.0173611;0.0157274	2.77737;2.98408	1.84772;2.47841	False	False	False	True
broad	Acvr1b	0.031129032258064515	0.06571738022426096	0.03458834796619645	2.11112827663429	2.098990414165646	3.518642856249092	1.419652442083446	False	False	2	2	0.03;0.0322581	0.0763889;0.0550459	2.10232;2.09566	3.63656;3.40073	False	False	False	True
broad	A330009N23Rik	0.03933691756272402	0.0063232670744138636	-0.033013650488310155	0.16074637938601072	2.4740285396078088	0.9498291083745836	-1.5241994312332252	True	True	2	2	0.05;0.0286738	0.00347222;0.00917431	2.8524;2.09566	0.603939;1.29572	False	False	False	True
broad	Nr4a1	0.1282258064516129	0.17825060069899518	0.050024794247382265	1.3901304708600881	4.4184861958143635	5.739344711059939	1.3208585152455754	False	False	2	2	0.116667;0.139785	0.197917;0.158585	4.32423;4.51274	5.90073;5.57796	False	False	False	True
broad	Gm671	0.03471326164874552	0.011991226154070191	-0.022722035494675327	0.3454364581296421	2.271390865399244	1.4583638726299593	-0.8130269927692848	True	True	2	2	0.03;0.0394265	0.00694444;0.017038	2.22033;2.32245	1.02837;1.88836	False	False	False	True
broad	Tns2	0.026003584229390683	0.09025274865297801	0.06424916442358733	3.470781099128996	2.0347267808891574	3.915895379312693	1.8811685984235358	False	False	2	2	0.0233333;0.0286738	0.121528;0.0589777	1.9738;2.09566	4.37537;3.45643	False	False	False	True
broad	Spryd3	0.1342293906810036	0.13343481505752147	-0.0007945756234821189	0.9940804646474897	4.051005425840353	4.588718398254974	0.5377129724146208	False	False	2	2	0.1;0.168459	0.142361;0.124509	3.70907;4.39294	4.63886;4.53858	False	False	False	True
broad	Igfbp6	0.1639784946236559	0.08773390854812874	-0.07624458607552717	0.5350330160639982	4.3162598677356225	4.371051857219594	0.054791989483971903	True	False	2	2	0.166667;0.16129	0.0902778;0.08519	4.426;4.20652	4.14041;4.60169	False	False	False	True
broad	Zfp740	0.16523297491039426	0.20304991262560068	0.03781693771520642	1.2288704039597091	4.290327739594243	5.214857300466077	0.924529560871834	False	False	2	2	0.133333;0.197133	0.229167;0.176933	4.00054;4.58011	5.4124;5.01731	False	False	False	True
broad	Rarg	0.1761469534050179	0.18457386777340906	0.008426914368391158	1.0478402504584623	4.481933642059293	5.092623591243919	0.6106899491846267	False	False	2	2	0.176667;0.175627	0.201389;0.167759	4.47431;4.48956	5.22459;4.96066	False	False	False	True
broad	Mfsd5	0.09263440860215054	0.06352164336682685	-0.02911276523532369	0.6857240665252347	3.5076475073940623	3.506588487866705	-0.0010590195273572078	False	False	2	2	0.11;0.0752688	0.0798611;0.0471822	3.78764;3.22765	3.85961;3.15357	False	False	False	True
broad	Aaas	0.12155913978494623	0.053990097568079216	-0.06756904221686702	0.44414675575686574	3.8670342687490606	3.3930238620930826	-0.47401040665597804	True	True	2	2	0.103333;0.139785	0.0555556;0.0524246	3.70907;4.025	3.44325;3.34279	False	False	False	True
broad	Sp1	0.16689964157706094	0.19070145259938837	0.023801811022327424	1.1426115167020154	4.375076567059503	5.145478777080895	0.7704022100213921	False	False	2	2	0.136667;0.197133	0.197917;0.183486	4.12681;4.62335	5.1839;5.10705	False	False	False	True
broad	Tarbp2	0.21419354838709678	0.11653332969273336	-0.09766021869436342	0.5440562079028214	4.861793827342308	4.314761255450536	-0.5470325718917719	True	True	2	2	0.213333;0.215054	0.100694;0.132372	4.92029;4.80329	4.05275;4.57678	False	False	False	True
broad	Calcoco1	0.16127240143369176	0.17562936871996504	0.014356967286273281	1.0890230886291865	4.2569855605100155	4.953517596523824	0.6965320360138083	False	False	2	2	0.143333;0.179211	0.197917;0.153342	4.09626;4.41771	5.14204;4.765	False	False	False	True
broad	Smug1	0.039713261648745515	0.03682466870540265	-0.0028885929433428645	0.927263769747955	2.376636139581678	2.829569967260068	0.45293382767838963	False	False	2	2	0.04;0.0394265	0.0277778;0.0458716	2.43082;2.32245	2.50557;3.15357	False	False	False	True
broad	Zfp385a	0.1888172043010753	0.13752821464977427	-0.05128898965130102	0.7283669682476654	4.64620082359562	4.564649779767436	-0.0815510438281839	True	False	2	2	0.173333;0.204301	0.159722;0.115334	4.56633;4.72607	4.75451;4.37479	False	False	False	True
broad	Itga5	0.08188172043010752	0.04966688510266492	-0.032214835327442605	0.6065686558828415	3.239507850644058	3.2459275939201104	0.0064197432760524364	False	False	2	2	0.11;0.0537634	0.0416667;0.0576671	3.70907;2.76995	2.95572;3.53614	False	False	False	True
broad	Gtsf2	0.030878136200716846	0.013497524392019804	-0.017380611808697044	0.43712238019425714	2.0779256362716243	1.6224627690182387	-0.4554628672533856	True	True	2	2	0.0366667;0.0250896	0.0138889;0.0131062	2.32941;1.82644	1.62267;1.62226	False	False	False	True
broad	Pde1b	0.10913978494623656	0.014774009756807923	-0.09436577518942864	0.13536777412641743	3.775427965442989	1.6892690757696998	-2.0861588896732894	True	True	2	2	0.1;0.11828	0.0243056;0.00524246	3.62597;3.92488	2.50557;0.872967	False	False	False	True
broad	Zfp263	0.11439068100358422	0.10598014052715887	-0.008410540476425352	0.9264753002374221	3.8193987439901083	4.195471538942699	0.3760727949525906	False	False	2	2	0.103333;0.125448	0.121528;0.0904325	3.74889;3.88991	4.33877;4.05217	False	False	False	True
broad	Naa60	0.12363799283154123	0.075087374399301	-0.04855061843224023	0.6073163489608632	3.913925830099752	3.6969628473976988	-0.21696298270205316	True	False	2	2	0.143333;0.103943	0.0833333;0.0668414	4.12681;3.70104	3.80699;3.58693	False	False	False	True
broad	1700037C18Rik	0.08480286738351255	0.03856077981651376	-0.04624208756699878	0.45471080172473965	3.3870516681116802	2.7950582437595637	-0.5919934243521165	True	True	2	2	0.08;0.0896057	0.03125;0.0458716	3.29042;3.48368	2.50557;3.08455	False	False	False	True
broad	Trap1	0.20548387096774196	0.1465409749526722	-0.058942896015069746	0.713150741527918	4.734449393001526	4.78966488010016	0.055215487098633886	True	False	2	2	0.206667;0.204301	0.142361;0.150721	4.86701;4.60189	4.69785;4.88148	False	False	False	True
broad	Adcy9	0.10838709677419354	0.1246177370030581	0.016230640228864557	1.1497469783020242	3.8466354553537894	4.454202321089527	0.6075668657357376	False	False	2	2	0.12;0.0967742	0.166667;0.0825688	4.03316;3.66011	5.00861;3.89979	False	False	False	True
broad	Srl	0.11376344086021506	0.031548074122615406	-0.08221536673759966	0.27731293888499364	4.028724090595537	2.722187711250081	-1.3065363793454559	True	True	2	2	0.12;0.107527	0.0381944;0.0249017	4.06506;3.99239	3.13716;2.30722	False	False	False	True
broad	Tfap4	0.14451612903225808	0.10165692806174458	-0.0428592009705135	0.7034296361415361	4.301903863133874	4.304325620611545	0.002421757477670816	True	False	2	2	0.16;0.129032	0.107639;0.095675	4.426;4.17781	4.33877;4.26988	False	False	False	True
broad	Glis2	0.1124731182795699	0.09058495340032037	-0.021888164879249536	0.8053920331003627	3.9114564855552842	3.9911673918053325	0.07971090625004829	True	False	2	2	0.106667;0.11828	0.0868056;0.0943644	3.93301;3.88991	3.85961;4.12273	False	False	False	True
