analysis_group	gene	age_week	n_mice	total_cells	mean_log2_cpm_plus1	median_log2_cpm_plus1	mean_detection_rate	median_detection_rate
combined_mTEClo_mTEChi	Loxl2	52	5	287	1.9391321332719649	2.1744927851743165	0.12978423069167172	0.1111111111111111
combined_mTEClo_mTEChi	Loxl3	1	5	221	5.264398251561152	5.159900623576609	0.27376533468004965	0.2833333333333333
combined_mTEClo_mTEChi	Loxl3	4	5	325	5.622602409518318	5.642644115459024	0.25105553165041117	0.234375
combined_mTEClo_mTEChi	Loxl3	16	5	192	4.950805223017863	4.888383424226701	0.21804511278195488	0.25
combined_mTEClo_mTEChi	Loxl3	32	5	272	5.246972319754269	5.0709514012797055	0.238748032175282	0.2413793103448276
combined_mTEClo_mTEChi	Loxl3	52	5	287	5.342360371190281	5.255276111700532	0.2674228675136116	0.24561403508771928
combined_mTEClo_mTEChi	Loxl4	1	5	221	5.633103926480006	5.4896396441346464	0.6922220819392715	0.7
combined_mTEClo_mTEChi	Loxl4	4	5	325	5.275338439576596	5.497436877103688	0.5646386737425895	0.6
combined_mTEClo_mTEChi	Loxl4	16	5	192	5.760715459030329	5.811045412309011	0.6054910002278423	0.5681818181818182
combined_mTEClo_mTEChi	Loxl4	32	5	272	5.474074290316777	5.49014948938581	0.6044867481831318	0.6025641025641025
combined_mTEClo_mTEChi	Loxl4	52	5	287	5.184994788578944	5.408460558666133	0.5669288162936076	0.5277777777777778
mTEChi	Lox	1	5	129	3.4634131716891927	4.4911837721881	0.1580584707646177	0.17391304347826086
mTEChi	Lox	4	5	193	3.227077010441884	4.3966911241939854	0.20254638087118906	0.17391304347826086
mTEChi	Lox	16	5	99	3.8773866214132937	4.5295547755526995	0.20874339300937766	0.17647058823529413
mTEChi	Lox	32	5	143	4.415941563532199	4.639244358142443	0.2988307391533198	0.3076923076923077
mTEChi	Lox	52	5	151	2.603011745023042	2.6387093186924417	0.30524361259655375	0.3111111111111111
mTEChi	Loxl1	1	5	129	8.114606176084418	8.155374936166707	0.9500655922038981	0.9310344827586207
mTEChi	Loxl1	4	5	193	7.455713970179181	7.6408688013078425	0.7937137173710064	0.8431372549019608
mTEChi	Loxl1	16	5	99	7.356668133101612	7.558268903233866	0.7241875532821824	0.7647058823529411
mTEChi	Loxl1	32	5	143	7.373210349953783	7.190158666656377	0.7982431009850365	0.8387096774193549
mTEChi	Loxl1	52	5	151	7.359343415451884	7.637113787099535	0.8836170528817588	0.8823529411764706
mTEChi	Loxl2	1	5	129	3.3209127174366353	2.8183911743395886	0.399226011994003	0.40625
mTEChi	Loxl2	4	5	193	3.032855136419118	3.308273558313828	0.3104849186051232	0.3137254901960784
mTEChi	Loxl2	16	5	99	2.224307620143074	2.238369657875385	0.21795737425404943	0.23529411764705882
mTEChi	Loxl2	32	5	143	2.720117777521696	3.5343063768283565	0.18089442815249265	0.2
mTEChi	Loxl2	52	5	151	2.062117974275619	2.927280397969019	0.2070016339869281	0.2
mTEChi	Loxl3	1	5	129	5.690462362040035	5.306303130140547	0.45432908545727135	0.3125
mTEChi	Loxl3	4	5	193	5.910398591364624	6.011283591474307	0.29989952502740225	0.25
mTEChi	Loxl3	16	5	99	4.034385071740195	4.4652423150881395	0.21413469735720375	0.2608695652173913
