gene	development_stage	celltypes	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL2	9th week post-fertilization stage	mTEC(I)	1	1	1	1	0	0	not_generated	not_generated
LOXL2	fourth decade stage	TEC(myo)	1	3	3	90	0.0222222	0.0151593	not_generated	not_generated
LOXL2	fourth decade stage	TEC(neuro)	1	3	3	164	0.021978	0.0167157	not_generated	not_generated
LOXL2	fourth decade stage	cTEC	1	3	3	41	0	0	not_generated	not_generated
LOXL2	fourth decade stage	mTEC(I)	1	4	4	4160	0.00243428	0.00256783	not_generated	not_generated
LOXL2	fourth decade stage	mTEC(II)	1	3	3	38	0	0.0392157	not_generated	not_generated
LOXL2	fourth decade stage	mTEC(III)	1	3	3	114	0	0	not_generated	not_generated
LOXL2	fourth decade stage	mTEC(IV)	1	2	2	6	0	0	not_generated	not_generated
LOXL2	fourth decade stage	mcTEC	1	3	3	9	0	0	not_generated	not_generated
LOXL2	organogenesis stage	Epi_GCM2	2	4	4	74	0.0142857	0.0149553	not_generated	not_generated
LOXL2	organogenesis stage	TEC(myo)	2	2	2	2	0	0	not_generated	not_generated
LOXL2	organogenesis stage	TEC(neuro)	2	4	4	76	0	0.0119048	not_generated	not_generated
LOXL2	organogenesis stage	cTEC	2	4	4	8930	0.0293976	0.0307411	not_generated	not_generated
LOXL2	organogenesis stage	mTEC(II)	2	4	4	321	0.0181818	0.0194357	not_generated	not_generated
LOXL2	organogenesis stage	mTEC(III)	2	4	4	37	0	0.05	not_generated	not_generated
LOXL2	organogenesis stage	mTEC(IV)	2	2	2	2	0	0	not_generated	not_generated
LOXL3	10th week post-fertilization stage	TEC(myo)	2	2	2	4	0.25	0.25	not_generated	not_generated
LOXL3	10th week post-fertilization stage	TEC(neuro)	1	1	1	1	0	0	not_generated	not_generated
LOXL3	10th week post-fertilization stage	cTEC	2	3	3	29	0	0.0208333	not_generated	not_generated
LOXL3	10th week post-fertilization stage	mTEC(I)	1	1	1	1	0	0	not_generated	not_generated
LOXL3	10th week post-fertilization stage	mTEC(II)	1	1	1	1	0	0	not_generated	not_generated
LOXL3	10th week post-fertilization stage	mcTEC	2	3	3	27	0	0.0416667	not_generated	not_generated
LOXL3	11th week post-fertilization stage	TEC(neuro)	1	1	1	2	0	0	not_generated	not_generated
LOXL3	11th week post-fertilization stage	cTEC	1	2	2	7	0	0	not_generated	not_generated
LOXL3	11th week post-fertilization stage	mTEC(I)	1	2	2	2	0	0	not_generated	not_generated
LOXL3	11th week post-fertilization stage	mTEC(IV)	1	1	1	1	1	1	not_generated	not_generated
LOXL3	11th week post-fertilization stage	mcTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL3	12th week post-fertilization stage	TEC(neuro)	2	3	3	5	0	0.166667	not_generated	not_generated
LOXL3	12th week post-fertilization stage	cTEC	1	2	2	3	0	0	not_generated	not_generated
LOXL3	12th week post-fertilization stage	mTEC(I)	2	4	4	9	0	0	not_generated	not_generated
LOXL3	12th week post-fertilization stage	mTEC(II)	2	2	2	2	0.5	0.5	not_generated	not_generated
LOXL3	12th week post-fertilization stage	mTEC(III)	1	1	1	1	0	0	not_generated	not_generated
LOXL3	12th week post-fertilization stage	mcTEC	2	3	3	6	0	0	not_generated	not_generated
LOXL3	13th week post-fertilization stage	TEC(myo)	1	2	2	2	0	0	not_generated	not_generated
LOXL3	13th week post-fertilization stage	TEC(neuro)	1	2	2	3	0	0	not_generated	not_generated
LOXL3	13th week post-fertilization stage	mTEC(I)	1	2	2	17	0	0	not_generated	not_generated
LOXL3	13th week post-fertilization stage	mTEC(II)	1	1	1	3	0	0	not_generated	not_generated
LOXL3	15-19 year-old	TEC(myo)	1	2	2	94	0	0	not_generated	not_generated
LOXL3	15-19 year-old	TEC(neuro)	1	3	3	149	0	0.00292398	not_generated	not_generated
LOXL3	15-19 year-old	mTEC(I)	1	3	3	839	0	0.0050505	not_generated	not_generated
LOXL3	15-19 year-old	mTEC(II)	1	3	3	42	0	0	not_generated	not_generated
LOXL3	15-19 year-old	mTEC(III)	1	3	3	280	0	0	not_generated	not_generated
LOXL3	15-19 year-old	mTEC(IV)	1	2	2	18	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	TEC(myo)	1	1	1	2	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	TEC(neuro)	1	1	1	1	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	mTEC(I)	1	1	1	7	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	mTEC(III)	1	1	1	1	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL3	16th week post-fertilization stage	TEC(myo)	1	1	1	4	0	0	not_generated	not_generated
LOXL3	16th week post-fertilization stage	TEC(neuro)	1	1	1	19	0	0	not_generated	not_generated
LOXL3	16th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOXL3	16th week post-fertilization stage	mTEC(I)	1	1	1	10	0	0	not_generated	not_generated
LOXL3	16th week post-fertilization stage	mTEC(II)	1	1	1	3	0	0	not_generated	not_generated
LOXL3	16th week post-fertilization stage	mcTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	TEC(myo)	2	3	3	11	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	TEC(neuro)	2	2	2	11	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	cTEC	1	1	1	34	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTEC(I)	2	2	2	133	0.00378788	0.00378788	not_generated	not_generated
