gene,annotation_level,cell_type_or_subtype,age_comparison,n_young_samples,n_aged_samples,young_cell_count,aged_cell_count,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance_label,direction,status,gene_present
Loxl1,subtype,4:intFB,18mo_vs_02mo,3,3,2691,1880,737.9985219497922,-0.5123242678042881,0.1720414448578851,-2.9779119108624883,0.0029021938209416636,0.05413182832163919,nominal_p<0.05,down_in_aged,ok,True
Loxl2,subtype,4:intFB,18mo_vs_02mo,3,3,2691,1880,118.5693906434342,-0.5784463994404674,0.24775047076883208,-2.3347943503211215,0.01955416648780174,0.1898400016846443,nominal_p<0.05,down_in_aged,ok,True
Loxl3,subtype,4:intFB,18mo_vs_02mo,3,3,2691,1880,94.79655468366644,0.21054177094532306,0.26645891728869225,0.7901472132652017,0.42944179966702245,0.855435277090965,not_significant,up_in_aged,ok,True
Loxl4,subtype,4:intFB,18mo_vs_02mo,3,3,2691,1880,2.9228604806928717,-0.5893481356593899,1.2886156420881996,-0.4573498228722043,0.6474196239208694,,padj_NA,down_in_aged,ok,True
Lox,subtype,5:medFB,18mo_vs_02mo,3,3,1841,2881,25.04629396163639,1.101093219618501,0.433859917611064,2.5379003104997166,0.011151974606123157,0.0747288780909326,nominal_p<0.05,up_in_aged,ok,True
Loxl1,subtype,5:medFB,18mo_vs_02mo,3,3,1841,2881,146.28166934248358,0.7505055180833843,0.2450487394031332,3.062678550852355,0.0021936556343317387,0.022557597703736085,FDR<0.05,up_in_aged,ok,True
Loxl2,subtype,5:medFB,18mo_vs_02mo,3,3,1841,2881,70.12402624040357,-0.9954827176484546,0.28328095432457123,-3.5141180600086264,0.0004412166683791993,0.006717708938943732,FDR<0.05,down_in_aged,ok,True
Loxl3,subtype,5:medFB,18mo_vs_02mo,3,3,1841,2881,75.91169967068376,0.39688402614747537,0.30106504066237055,1.318266728260094,0.1874143747184368,0.47512763864641283,not_significant,up_in_aged,ok,True
Loxl4,subtype,5:medFB,18mo_vs_02mo,3,3,1841,2881,0.9277231445630978,-0.6270507310510817,2.184473983154384,-0.2870488437429772,0.7740749212543258,,padj_NA,down_in_aged,ok,True
Lox,subtype,6:MEC,18mo_vs_02mo,3,3,160,634,7.616971359221483,-0.3534857984311015,0.6504032369661592,-0.5434871451131685,0.5867944393071967,,padj_NA,down_in_aged,ok,True
Loxl1,subtype,6:MEC,18mo_vs_02mo,3,3,160,634,91.84745114894247,-0.2123650037643031,0.339890722649788,-0.6248037666597828,0.5320998582407889,0.9642242930722538,not_significant,down_in_aged,ok,True
Loxl2,subtype,6:MEC,18mo_vs_02mo,3,3,160,634,14.605629954285783,-1.1649323199017867,0.5653215051915982,-2.0606545288012157,0.03933601059147068,0.7060577138522591,nominal_p<0.05,down_in_aged,ok,True
Loxl3,subtype,6:MEC,18mo_vs_02mo,3,3,160,634,6.746061121504426,0.28700519152314735,0.692013682389588,0.4147391862717101,0.6783328426426087,,padj_NA,up_in_aged,ok,True
Loxl4,subtype,6:MEC,18mo_vs_02mo,3,3,160,634,1.1930426863075734,-0.21438377368447278,1.5278586440936939,-0.14031649754591172,0.8884099301194806,,padj_NA,down_in_aged,ok,True
Lox,subtype,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,4.697382723734298,-0.262742286566923,0.7884331589261393,-0.3332461142613318,0.7389485113502088,0.9997808816588243,not_significant,down_in_aged,ok,True
Loxl1,subtype,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,11.373815054862906,0.5510198093889093,1.3278359640537112,0.41497581350840745,0.67815960897988,0.9997808816588243,not_significant,up_in_aged,ok,True
Loxl2,subtype,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,2.445324976880976,-1.9593858397618333,0.889218079383336,-2.203493029652128,0.027560017720231353,0.9997808816588243,nominal_p<0.05,down_in_aged,ok,True
Loxl3,subtype,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,5.412569162899201,0.4121468623397055,1.080870745889548,0.3813100353646004,0.7029732080234168,0.9997808816588243,not_significant,up_in_aged,ok,True
Loxl4,subtype,7:vSMC/PC,18mo_vs_02mo,3,4,268,712,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,8:nmSC,18mo_vs_02mo,1,3,10,56,0.1741116301368588,0.39156522567411134,5.315479729218196,0.07366507740058732,0.9412768874570481,0.9947259863158393,not_significant,up_in_aged,ok,True
Loxl1,subtype,8:nmSC,18mo_vs_02mo,1,3,10,56,2.5507027151865436,1.1568271255898934,2.536733212529897,0.4560302675408991,0.648368213075019,0.9947259863158393,not_significant,up_in_aged,ok,True
Loxl2,subtype,8:nmSC,18mo_vs_02mo,1,3,10,56,1.2504759935100902,2.8287824191318944,4.537251341320263,0.6234572886387129,0.5329840612923333,0.9947259863158393,not_significant,up_in_aged,ok,True
Loxl3,subtype,8:nmSC,18mo_vs_02mo,1,3,10,56,1.7344013698494778,-0.8053320910395455,2.6633195245056287,-0.30237907379477236,0.762363105259795,0.9947259863158393,not_significant,down_in_aged,ok,True
