analysis_group	gene	age_week	n_sample_proxy	n_cells	mean_detection_rate	median_detection_rate	mean_log2CPM1	median_log2CPM1
mTEChi	Loxl4	4	5	193	0.5921639670360899	0.6086956521739131	5.017295839188702	5.156051528886241
mTEChi	Loxl4	16	5	99	0.6429838022165388	0.6666666666666666	5.678572750624715	5.7505093488842585
mTEChi	Loxl4	32	5	143	0.6788130686517784	0.7333333333333333	5.583627270110439	5.456777846452762
mTEChi	Loxl4	52	5	151	0.6417320261437909	0.625	5.170765874594444	5.085532489803554
mTEClo	Lox	1	5	92	0.2669119769119769	0.2222222222222222	3.5105273339967185	3.5009557938075253
mTEClo	Lox	4	5	132	0.21060888474681577	0.25	3.158867759187282	2.645283381887384
mTEClo	Lox	16	5	93	0.24073475544063777	0.25	4.564901364494775	4.4440815971697765
mTEClo	Lox	32	5	129	0.21646641857168172	0.2	4.3219480750290185	4.886101447501389
mTEClo	Lox	52	4	136	0.2867828216760834	0.27475409836065573	5.080528439795013	5.079684149251392
mTEClo	Loxl1	1	5	92	0.9125925925925926	1.0	8.174131233823958	8.167310672683783
mTEClo	Loxl1	4	5	132	0.8032339639236191	0.8	7.967127374494443	7.723336331457256
mTEClo	Loxl1	16	5	93	0.7821590174531351	0.7619047619047619	7.833601404152693	7.944895481977414
mTEClo	Loxl1	32	5	129	0.7781782739677476	0.8148148148148148	7.639374532656371	7.332221941895781
mTEClo	Loxl1	52	4	136	0.8043505246458292	0.8226229508196721	7.6444989217087675	7.575616992316213
mTEClo	Loxl2	1	5	92	0.3553246753246753	0.4	4.389471657874287	3.935485690684002
mTEClo	Loxl2	4	5	132	0.1941270782650093	0.2	3.3836893300989344	3.0836794014974465
mTEClo	Loxl2	16	5	93	0.12318465847877613	0.14285714285714285	2.123189238432893	1.9136510733799081
mTEClo	Loxl2	32	5	129	0.06911217437533226	0.02631578947368421	0.735213300995174	0.6293432396908587
mTEClo	Loxl2	52	4	136	0.04438030560271647	0.03612903225806452	0.8538461356680991	0.4390421905261994
mTEClo	Loxl3	1	5	92	0.16467051467051466	0.18181818181818182	3.688998487624745	4.587921837363152
mTEClo	Loxl3	4	5	132	0.18697191593743318	0.2	4.470202182272574	4.855221549614342
mTEClo	Loxl3	16	5	93	0.22448825684119803	0.23809523809523808	4.549396653026994	5.183726164175176
mTEClo	Loxl3	32	5	129	0.1958709906078327	0.25925925925925924	4.219800725214645	5.370741635967923
mTEClo	Loxl3	52	4	136	0.12193019566367001	0.10451612903225807	3.129777901650694	3.4022929506060455
mTEClo	Loxl4	1	5	92	0.6297594997594997	0.6363636363636364	5.338826425060927	5.450695749949753
