gene	donor_id	sample_id	development_stage	sex	celltypes	n_cells	n_detected	detection_fraction
LOXL1	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	TEC(neuro)	2	0	0
LOXL1	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cTEC	60	10	0.166667
LOXL1	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	mTEC(I)	1	1	1
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	Epi_GCM2	4	1	0.25
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	TEC(myo)	1	0	0
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	TEC(neuro)	21	5	0.238095
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	cTEC	2628	620	0.235921
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	mTEC(II)	145	33	0.227586
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	mTEC(III)	10	1	0.1
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	mTEC(IV)	1	0	0
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	Epi_GCM2	3	1	0.333333
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	TEC(neuro)	24	3	0.125
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	cTEC	2774	689	0.248378
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	mTEC(II)	165	39	0.236364
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	mTEC(III)	22	1	0.0454545
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	Epi_GCM2	35	10	0.285714
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	TEC(myo)	1	0	0
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	TEC(neuro)	13	3	0.230769
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	cTEC	1754	545	0.310718
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	mTEC(II)	4	2	0.5
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	mTEC(III)	1	0	0
