CellID	ClusterID	Position	PlateID	Column	Row	SortType	SortDay	Age	SubType	sizeFactor	ExportSample	cell_barcode	total_counts_all_features	detected_features_all_features	join_id	Characteristics[individual]	Characteristics[age]	Factor Value[age]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[inferred cell type]	Comment[ENA_RUN]	Assay Name	age_week	individual	biological_mouse_id
F16.B002284.2_52.1.32.1_S76	7	F16	B002284	16	F	mTEChi	2	1wk	Mature mTEC	1.04382742443327	day2	F16.B002284.2_52.1.32.1_S76	1521396	5547	F16B0022842521321S76	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814846	F16-B002284-2_52-1-32-1_S76	1	2	wk1_mouse2
F16.B002294.2_32.4.52.1_S220	7	F16	B002294	16	F	mTEChi	2	4wk	Mature mTEC	1.55873734951613	day2	F16.B002294.2_32.4.52.1_S220	1619335	7444	F16B0022942324521S220	2	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3818704	F16-B002294-2_32-4-52-1_S220	4	2	wk4_mouse2
F17.B002283.2_4.52.16.1_S293	7	F17	B002283	17	F	mTEChi	2	16wk	Mature mTEC	3.3397764753318	day2	F17.B002283.2_4.52.16.1_S293	3434272	8056	F17B0022832452161S293	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3820203	F17-B002283-2_4-52-16-1_S293	16	2	wk16_mouse2
F17.B002284.2_52.1.32.1_S77	7	F17	B002284	17	F	mTEChi	2	32wk	Mature mTEC	1.08061018572992	day2	F17.B002284.2_52.1.32.1_S77	1338471	4744	F17B0022842521321S77	2	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3823560	F17-B002284-2_52-1-32-1_S77	32	2	wk32_mouse2
F17.B002288.2_16.32.1.1_S113	7	F17	B002288	17	F	mTEChi	2	1wk	Mature mTEC	2.59212524800945	day2	F17.B002288.2_16.32.1.1_S113	2973761	8026	F17B0022882163211S113	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814850	F17-B002288-2_16-32-1-1_S113	1	2	wk1_mouse2
F17.B002294.2_32.4.52.1_S221	7	F17	B002294	17	F	mTEChi	2	52wk	Mature mTEC	1.36643594686664	day2	F17.B002294.2_32.4.52.1_S221	1699109	7123	F17B0022942324521S221	2	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828043	F17-B002294-2_32-4-52-1_S221	52	2	wk52_mouse2
F17.B002295.2_1.16.4.1_S5	6	F17	B002295	17	F	mTEChi	2	4wk	Proliferating TEC	5.02152829353989	day2	F17.B002295.2_1.16.4.1_S5	5832766	5901	F17B002295211641S5	2	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Proliferating.TEC	ERR3818709	F17-B002295-2_1-16-4-1_S5	4	2	wk4_mouse2
F18.B002284.2_52.1.32.1_S78	3	F18	B002284	18	F	mTEChi	2	32wk	Mature cTEC	1.7640058480251	day2	F18.B002284.2_52.1.32.1_S78	1648724	5663	F18B0022842521321S78	2	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.cTEC	ERR3823563	F18-B002284-2_52-1-32-1_S78	32	2	wk32_mouse2
F18.B002288.2_16.32.1.1_S114	7	F18	B002288	18	F	mTEChi	2	1wk	Mature mTEC	1.66342581213796	day2	F18.B002288.2_16.32.1.1_S114	2532260	2428	F18B0022882163211S114	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814852	F18-B002288-2_16-32-1-1_S114	1	2	wk1_mouse2
F19.B002283.2_4.52.16.1_S295	1	F19	B002283	19	F	mTEChi	2	16wk	Post-Aire mTEC	0.0955463721203338	day2	F19.B002283.2_4.52.16.1_S295	175817	1659	F19B0022832452161S295	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Post-Aire.mTEC	ERR3820211	F19-B002283-2_4-52-16-1_S295	16	2	wk16_mouse2
F19.B002288.2_16.32.1.1_S115	7	F19	B002288	19	F	mTEChi	2	1wk	Mature mTEC	0.442452482601829	day2	F19.B002288.2_16.32.1.1_S115	617316	3777	F19B0022882163211S115	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814854	F19-B002288-2_16-32-1-1_S115	1	2	wk1_mouse2
F19.B002294.2_32.4.52.1_S223	7	F19	B002294	19	F	mTEChi	2	52wk	Mature mTEC	1.20808295530815	day2	F19.B002294.2_32.4.52.1_S223	1257628	6073	F19B0022942324521S223	2	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828053	F19-B002294-2_32-4-52-1_S223	52	2	wk52_mouse2
F19.B002295.2_1.16.4.1_S7	7	F19	B002295	19	F	mTEChi	2	4wk	Mature mTEC	2.56002099009368	day2	F19.B002295.2_1.16.4.1_S7	3858237	5207	F19B002295211641S7	2	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3818721	F19-B002295-2_1-16-4-1_S7	4	2	wk4_mouse2
F2.B002284.2_52.1.32.1_S62	7	F2	B002284	2	F	mTEChi	2	52wk	Mature mTEC	0.680847656272836	day2	F2.B002284.2_52.1.32.1_S62	770467	3673	F2B0022842521321S62	2	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3825938	F2-B002284-2_52-1-32-1_S62	52	2	wk52_mouse2
F2.B002294.2_32.4.52.1_S206	7	F2	B002294	2	F	mTEChi	2	32wk	Mature mTEC	0.746306124211678	day2	F2.B002294.2_32.4.52.1_S206	1274280	3174	F2B0022942324521S206	2	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3824785	F2-B002294-2_32-4-52-1_S206	32	2	wk32_mouse2
F20.B002284.2_52.1.32.1_S80	3	F20	B002284	20	F	mTEChi	2	32wk	Mature cTEC	0.946738208929903	day2	F20.B002284.2_52.1.32.1_S80	962975	5786	F20B0022842521321S80	2	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.cTEC	ERR3823570	F20-B002284-2_52-1-32-1_S80	32	2	wk32_mouse2
F20.B002288.2_16.32.1.1_S116	6	F20	B002288	20	F	mTEChi	2	1wk	Proliferating TEC	4.11129921254026	day2	F20.B002288.2_16.32.1.1_S116	4992894	8825	F20B0022882163211S116	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Proliferating.TEC	ERR3814860	F20-B002288-2_16-32-1-1_S116	1	2	wk1_mouse2
F20.B002294.2_32.4.52.1_S224	7	F20	B002294	20	F	mTEChi	2	52wk	Mature mTEC	0.491565721088282	day2	F20.B002294.2_32.4.52.1_S224	448397	4785	F20B0022942324521S224	2	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828060	F20-B002294-2_32-4-52-1_S224	52	2	wk52_mouse2
F20.B002295.2_1.16.4.1_S8	7	F20	B002295	20	F	mTEChi	2	4wk	Mature mTEC	2.06256201810315	day2	F20.B002295.2_1.16.4.1_S8	2558158	6145	F20B002295211641S8	2	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3818728	F20-B002295-2_1-16-4-1_S8	4	2	wk4_mouse2
