gene	cell_type	subtype	comparison	baseMean	log2FoldChange	lfcSE	pvalue	padj	n_young_samples	n_aged_samples
Loxl4	TEC	10:aaTEC1	18mo_vs_02mo						0	2
Lox	TEC	11:aaTEC2	18mo_vs_02mo	13.840278873166834	1.0735265571622967	1.9772084589031609	0.5871638023500646	0.9997613420850404	1	3
Loxl1	TEC	11:aaTEC2	18mo_vs_02mo	10.74625185102438	-2.3121470258463592	1.895478118722368	0.2225321363218608	0.9997613420850404	1	3
Loxl2	TEC	11:aaTEC2	18mo_vs_02mo	2.0737059406507465	-0.150673777074278	2.4552444253244285	0.9510660272417276	0.9997613420850404	1	3
Loxl3	TEC	11:aaTEC2	18mo_vs_02mo	2.7290615510583955	-1.3880970612132608	2.1491995334539404	0.5183654908777109	0.9997613420850404	1	3
Loxl4	TEC	11:aaTEC2	18mo_vs_02mo						1	3
Lox	TEC	12:cTEC	18mo_vs_02mo	3.436383107756189	1.281949017491939	1.417163210812474	0.365683626555316		2	2
Loxl1	TEC	12:cTEC	18mo_vs_02mo	1.7572997186738395	-0.3178218765183014	2.035244168002197	0.8759076227798709		2	2
Loxl2	TEC	12:cTEC	18mo_vs_02mo	1.8467468749056808	-2.6629516725080804	1.769737781054395	0.132397265062296		2	2
Loxl3	TEC	12:cTEC	18mo_vs_02mo	0.8807120682360818	-2.33608280238697	3.0055387393360826	0.4370058286303581		2	2
Loxl4	TEC	12:cTEC	18mo_vs_02mo						2	2
Lox	TEC	12:early Pr	18mo_vs_02mo	7.497926087814621	-0.6694233454593053	0.6972111072424365	0.3369825413157075		2	2
Loxl1	TEC	12:early Pr	18mo_vs_02mo	2.239724312183112	3.193905988434545	2.445530937294849	0.1915466359917064		2	2
Loxl2	TEC	12:early Pr	18mo_vs_02mo	0.7333541954524813	-2.984860165274444	2.591912629984502	0.2494833273291204		2	2
Loxl3	TEC	12:early Pr	18mo_vs_02mo	0.4166428551017686	0.7904542046541909	5.191657562514889	0.8789860615674893		2	2
Loxl4	TEC	12:early Pr	18mo_vs_02mo						2	2
Lox	TEC	13:mTEC1	18mo_vs_02mo	65.88779784015907	0.7946098112468681	0.3797535729702039	0.0363995867818083	0.1300877696543736	2	2
Loxl1	TEC	13:mTEC1	18mo_vs_02mo	26.98969437661827	0.2601428503247021	0.5508047957219814	0.6367155917731782	0.8118395017644121	2	2
Loxl2	TEC	13:mTEC1	18mo_vs_02mo	16.420571500695427	-3.2911494397505088	0.8376252476109218	8.524910941339315e-05	0.0009563256575355	2	2
Loxl3	TEC	13:mTEC1	18mo_vs_02mo	3.38778869046636	0.1017528447706945	1.632631543208403	0.9503044669211173		2	2
Loxl4	TEC	13:mTEC1	18mo_vs_02mo	2.300275413262843	0.7967897534622436	1.834702682522448	0.6640791605220585		2	2
Lox	TEC	14:mTEC-prol	18mo_vs_02mo	2.561223606205246	-2.0532515476383195	2.249768544693548	0.3614265818088686		2	2
Loxl1	TEC	14:mTEC-prol	18mo_vs_02mo	5.563459545950272	-1.1639305604741117	1.4881550769558327	0.4341382446713832		2	2
Loxl2	TEC	14:mTEC-prol	18mo_vs_02mo	23.316375186992936	-0.0575925380211404	0.663881509546217	0.930869253632605		2	2
Loxl3	TEC	14:mTEC-prol	18mo_vs_02mo	0.8564886531302481	-1.063437312302589	3.3151350333338128	0.7483752201639182		2	2
Loxl4	TEC	14:mTEC-prol	18mo_vs_02mo	1.1647138798697738	-1.6099031508886557	3.0096999737815318	0.592715645712051		2	2
Lox	TEC	15:mTEC2	18mo_vs_02mo	8.567924197300554	0.5167151621531384	1.239813846864685	0.6768478600665025		2	2
Loxl1	TEC	15:mTEC2	18mo_vs_02mo	23.78133334805195	-1.366506787177563	0.7617897905734698	0.0728433655250227		2	2
Loxl2	TEC	15:mTEC2	18mo_vs_02mo	50.16288399756499	-0.3065825347628291	0.5033546799194919	0.5424723796205508		2	2
Loxl3	TEC	15:mTEC2	18mo_vs_02mo	38.26257810539529	-0.2508356621997876	0.6227469449453608	0.6871034032192801		2	2
Loxl4	TEC	15:mTEC2	18mo_vs_02mo	2.2069817123180817	-0.9439331486190724	2.3886274847659514	0.692711491617883		2	2
Lox	TEC	16:mimetic(basal)	18mo_vs_02mo	0.866738850422203	-0.0030777863625488	2.9201541489895	0.9991590451598896		2	2
Loxl1	TEC	16:mimetic(basal)	18mo_vs_02mo	0.4811445755616796	-1.6998635594885645	4.538660215770818	0.7080101807260384		2	2
